FECHA ,FUENTE,TEXTO,LINK ,ETIQUETA
9 febrero de 2022,EL PAIS,"Arde la Amazonía colombiana
La deforestación desbocada dispara las alarmas de los ambientalistas. EL PAÍS sobrevuela las áreas más afectadas por la tala y quema de bosques. Las llamas devoran, una vez más, la Amazonía colombiana. Pocos minutos después de que la avioneta despega del aeropuerto de Villavicencio, la puerta de entrada a la inmensidad de las llanuras que dominan la mitad sur de Colombia, se comienza a observar las copiosas columnas de humo. ",https://elpais.com/clima-y-medio-ambiente/2022-02-09/arde-la-amazonia-colombiana.html,TALA Y QUEMA
12 septiembre de 2022,MONGABAY,"La Amazonía colombiana perdió más de 52 mil hectáreas de bosque en el primer semestre de 2022. Hace tan solo mes y medio, Carlos Eduardo Correa, hoy exministro de Ambiente, reveló las cifras de deforestación de Colombia durante el 2021. Y lo hizo después de que ambientalistas colombianos llevaran meses preguntándose por qué la tardanza en mostrar el panorama de los bosques en el país, y a muy pocos días del 7 de agosto, fecha en que el presidente Iván Duque dejaba la Casa de Nariño para darle paso a su sucesor, Gustavo Petro.",https://es.mongabay.com/2022/09/amazonia-colombiana-perdio-mas-de-52-mil-hectareas-de-bosque/,DEFORESTACION
18 agosto de 2022,DW,"Colombia propone fondo internacional para proteger la Amazonía. El presidente de Colombia, el izquierdista Gustavo Petro, anunció el jueves (18.08.2022) que pedirá a los países ricos y a grandes empresas pagar a los campesinos por cuidar la selva amazónica y recuperar las zonas deforestadas.",https://www.dw.com/es/colombia-propone-fondo-internacional-para-proteger-la-amazon%C3%ADa/a-62860684,DEFORESTACION
17 junio de 2020,NOTICIAS CARACOL,"Las manos heróicas que están detrás de la reforestación del Amazonas durante la pandemia
Sus esfuerzos para detener la destrucción de la naturaleza son titánicos. En lo que va de confinamiento, más de 75 mil hectáreas han sido arrasadas.",https://noticias.caracoltv.com/informes-especiales/las-manos-heroicas-que-estan-detras-de-la-reforestacion-del-amazonas-durante-la-pandemia,REFORESTACION
Septiembre 16 De 2022,PORTAFOLIO,"""La deforestación en Colombia subió 11 % en el primer semestre de 2022. En las últimas semanas, se ha tendido en medio de la opinión pública las cifras sobre deforestación en Colombia presentadas por el Ministerio de Ambiente y Desarrollo Sostenible, después de analizar los reportes del Sistema de Monitoreo de Bosques y Carbono del Instituto de Hidrología, Meteorología y Estudios Ambientales (Ideam). De acuerdo con la cartera, en las últimas dos décadas se han deforestado en el país 3,1 millones de hectáreas de bosque, siendo la Amazonia colombiana, el sector más afectado.

",https://www.portafolio.co/economia/finanzas/deforestacion-en-colombia-como-esta-el-pais-en-2022-571261,DEFORESTACION
Mayo 26 de 2023,EL PAIS,La crisis con las disidencias de Iván Mordisco impacta la lucha contra la deforestación,https://elpais.com/america-colombia/2023-05-26/la-crisis-con-la-disidencias-de-ivan-mordisco-impacta-la-lucha-contra-la-deforestacion.html,DEFORESTACION
Julio 15 de 2021,BBC,"""El """"impacto inmenso"""" de las regiones del Amazonas que ahora emiten más carbono del que absorben. vLa deforestación y el cambio climático están alterando la capacidad de la selva amazónica de absorber dióxido carbono, de acuerdo con un nuevo estudio.
Significativas áreas de la selva tropical más grande del planet han comenzado a emitir más CO2 del que absorben.

El área sureste es la más afectada, dicen los científicos, con tasas más altas de pérdida de árboles y un incremento en el número de incendios.
Las temperaturas allí han aumentado tres veces el promedio mundial durante los meses más calurosos.""",https://www.bbc.com/mundo/noticias-57820472,DEFORESTACION
Marzo 7 de 2022,NATIONAL GEOGRAPHIC,"""El Amazonas está cerca del punto de inflexión de convertirse en una sabana, sugiere un estudio. La selva del Amazonas podría estar acercándose a un punto de inflexión crítico que podría hacer que este ecosistema biológicamente rico y diverso se transforme en una sabana de hierba.

El destino de la selva tropical es crucial para la salud del planeta, ya que alberga una variedad única de vida animal y vegetal, almacena una enorme cantidad de carbono e influye en gran medida en los patrones climáticos globales.""",https://www.nationalgeographic.es/medio-ambiente/2018/11/asi-podria-afectar-la-perdida-de-la-selva-amazonica-al-agua-y-al-clima,DEFORESTACION
13 de Febrero de 2020,BBC,"La gran mentira verde"": cómo la pérdida del Amazonas va mucho más allá de la deforestación.",https://www.bbc.com/mundo/noticias-america-latina-51303285,DEFORESTACION
01 de Junio de 2022,EL ESPECTADOR,"La Amazonia colombiana fue la cuarta con más deforestación durante 2021. Un nuevo análisis presentado este miércoles por el Proyecto de Monitoreo de la Amazonia Andina (MAAP por sus siglas en inglés) revela los datos de la deforestación e incendios en la región Amazónica latinoamericana. Los datos, presentados por la Universidad de Maryland, indican que durante 2021 se perdieron aproximadamente dos millones de hectáreas de bosque primario en los nueve países del bioma amazónico. Aunque esto representó una disminución en comparación a la cifra de 2020, es el sexto registro más alto históricamente.",https://www.elespectador.com/ambiente/la-amazonia-colombiana-fue-la-cuarta-con-mas-deforestacion-durante-2021/,DEFORESTACION
7 DE Noviembre 2022,Cambio 16,"Desde hace dos semanas el nivel promedio del río Amazonas, en el lado brasileño, ha llegado a bajar 25 centímetros por día,Ríos reducidos a tierras agrietadas y pequeñas embarcaciones atascadas e inmovilizadas ante la ausencia de agua, se estan afectando 41 municipios que están en alerta, 3 en estado de emergencia, Y los 18 restantes tienen problemas de abastecimiento y salida de producción.",https://www.cambio16.com/la-sequia-reduce-el-rio-amazonas-a-sus-niveles-minimos/,     SEQUIA 
13 de Julio 2022,Radio Nacional ,"los problemas del eje vial que une a 12 distritos que siembran más de 40 mil hectáreas de café y producen más de un millón de quintales de este preciado grano para exportación, la reclasificación de una ruta nacional definitiva; la construcción de un pavimento de tránsito pesado y la conectividad digital en la zona pues carece de este importante servicio en muchas localidades.",https://www.radionacional.com.pe/noticias/nacional/transportes-trabaja-en-solucionar-problemas-en-corral-quemado-luya-amazonas,Vias de transporte 
31 de Mayo 2023,CANAL 26,"La contaminación que provoca este metal es principalmente dañina para la principal fuente de proteína del territorio, si se ingiere sin control, causa daños a la salud como dañar sus riñones y el sistema cardiovascular  porque está contaminada.",https://www.canal26.com/planeta/un-estudio-asegura-que-hay-peces-contaminados-de-mercurio-en-la-amazonia-brasilera--343590,contaminacion por mercurio 
te,meteored,"La anomalía de la temperatura del agua del océano Pacífico ha mostrado un calentamiento bastante atípico durante algunas semanas que podría provocar efectos más intensos y duraderos, como una sequía en el norte de Brasil, dejando a la Amazonia bajo un gran estrés hídrico y más propensa a los incendios.",https://www.tiempo.com/noticias/actualidad/alerta-de-devastacion-en-la-amazonia-por-la-llegada-del-fenomeno-de-el-nino.html,fenomeno el niño 
23 de Mayo 2023,ultima hora ,"Entre enero de 2017 y noviembre de 2021, una pérdida de bosques de más de 5,2 millones de hectáreas se pueden visualizar desde El proyecto se llama Sentinel-1 for Science",https://www.ultimahora.com/datos-satelitales-confirman-que-la-amazonia-pierde-sus-bosques-n3051788.html,perdida de bosque
18 de septiembre 2018,world animal protection," El delfín rosado ha sido cazado por que la carne del animal es usada como carnada para pescar el pez mota, Esta actividad no solamente es ilegal sino que estan cazando delfines de forma cruel.",https://www.worldanimalprotection.cr/problema-matanza-del-delfin-rosado,caza del defin rosado 
21 de Agosto 2019,euronews,"El Amazonas podría haber llegado a un punto de no retorno: la deforestación y los fuegos han llevado al extremo a la mayor selva tropical del mundo las tres primeras semanas de agosto 71.497 focos de incendio, el mayor número para el período en los últimos siete años, y poco más de la mitad de los cuales se reportaron en la Amazonía",https://es.euronews.com/2019/08/21/los-incendios-en-el-amazonas-aumentan-un-82-en-comparacion-con-el-mismo-periodo-de-2018,incendios 
23 de Marzo 2020,scidev," las carreteras que actualmente están proyectadas para ser construidas en la región amazónica producirán desarrollo, también provocarán deforestación, violaciones a derechos indígenas, transgresiones a las normas ambientales y pérdidas económicas. ",https://www.scidev.net/america-latina/news/alertan-impacto-de-carreteras-proyectadas-en-amazonia/,carreteras 
30 de Marzo 2022,la republica ,"McDonald’s Corp. estaría vinculada con la deforestación y abusos laborales en la selva amazónica,hay varios casos en los que la carne de res de ranchos despejados ilegalmente se mezcló con la de granjas para ocultar su verdadero origen y luego se envió a mataderos propiedad de empresas que abastecen a McDonald’s.",https://www.larepublica.co/globoeconomia/nuevo-informe-de-investigacion-vincula-a-mcdonald-s-con-deforestacion-de-amazonia-3334107,deforestacion 
24 de marzo 2019,el tiempo ,"en 2017 fue interceptada por la Fuerza Pública una balsa dedicada a la extracción de oro de aluvión en el río Apaporis, dentro del parque, y fue detectado por las autoridades,Estas primeras alertas del avance del frente de colonización en el parque están estrechamente ligadas con el proceso de deforestación de la Amazonia, el cual se intensifica año tras año ante la aparente impotencia de las autoridades.",https://www.eltiempo.com/vida/medio-ambiente/parque-chiribiquete-en-el-amazonas-colombiano-tiene-la-amenaza-de-la-deforestacion-341532,chiribiquete 
01 de enero 2023,epsocial ,"
Siete de cada diez habitantes de la Amazonía no tienen acceso al agua potable, pese a albergar el 20% de las reservas de agua dulce del planeta, según World Vision que ha lanzado la campaña Iniciativa de la Cuenca Amazónica, coincidiendo con el Día Mundial del Medio Ambiente.


",Siete de cada diez habitantes de la Amazonía no tienen acceso al agua potable (europapress.es),DEFORESTACIÓN
30 de noviembre 2020,EL PAIS,"A la Amazonia se le reconoce como el bosque tropical y el sistema de ríos más grande del mundo. Es el lugar que alberga el 10% de la biodiversidad del planeta y se extiende por los territorios de 9 países en Latinoamérica. Es el hogar de más de 47 millones de personas, incluyendo 410 grupos indígenas. Por su extensión y características ambientales, esta región es fundamental para la regulación del clima, el ciclo hídrico y para la prosperidad ambiental y económica de la zona. Por ello, su protección y conservación es vital para el ecosistema mundial.",https://elpais.com/clima-y-medio-ambiente/2020-11-30/la-deforestacion-en-la-amazonia-se-dispara-y-alcanza-el-record-en-12-anos.html,DEFORESTACIÓN
01 de diciembre 2020 ,NEWS MUNDO ,"Durante agosto del 2019, el aumento de los incendios en Brasil y Bolivia volvió a poner el Amazonas en el punto de mira.Según un informe del Instituto de Investigación Ambiental de la Amazonía (IPAM) los fuegos estaban directamente relacionados con la deforestación.
A pesar de las promesas del gobierno de que pondría fin a la deforestación, los incendios en el bosque volvieron a ocurrir durante el mismo periodo de 2020.",Destrucción del Amazonas: las principales amenazas para la mayor selva tropical del mundo en los 9 países que la comparten - BBC News Mundo,DEFORESTACION 
19 de octubre 2016,LAS 2 ORILLAS,"Así operan los grupos armados y el narcotráfico en el Amazonas. De alguna manera esta industria ha sido la vía del lavado de dinero de narcos desde que aparece este ilícito. Pero hasta los noventa se fortalece y se hace visible esta acción con los herederos de los carteles de la droga, quedando a luz pública, por sus estrategias que quedaron en evidencia ante el mundo por sus excedidas opulencias y los seguimientos que desenmascararon terceras personas como a empresas de fachada.",https://www.las2orillas.co/asi-operan-los-grupos-armados-y-el-narcotrafico-en-el-amazonas/,NARCOTRAFICO
"25 septiembre, 2021",TENDENCIA ,"Interceptan aeronave que intentaba traficar droga y detienen al piloto y copiloto, “Estos aviones vienen desde Suramérica y aquí en Venezuela son interceptados con nuestro Sistema de Defensa Aeroespacial Integral, capaz de detectar todo tipo de aeronaves que ingresen; inmediatamente procedemos a los protocolos de actuación de acuerdo a los estándares internacionales”, aseguró Ichaso quien destacó que Venezuela ejerce su soberanía sobre la normativa de los espacios aéreos",https://www.laiguana.tv/articulos/968970-amazonas-interceptan-aeronave-intentaba-traficar-droga-piloto-copiloto/,NARCOTRAFICO
10 de agosto 2010,IBERDROLA,"La deforestación hace saltar las alarmas en la Amazonia, ¿cómo podemos frenarla? Considerada el pulmón del mundo, la selva amazónica ha perdido desde 1970 una superficie forestal superior al tamaño de Francia, según datos de Greenpeace. Detrás de esta desaparición masiva de bosque tropical se encuentra la deforestación, en gran medida ocasionada por la mano del hombre. A continuación, exponemos los preocupantes datos, las consecuencias para el planeta y el ser humano y qué soluciones se plantean.",La deforestación del Amazonas y su impacto en la biodiversidad - Iberdrola,deforestacion 
16 de enero 2023,Open democracy,"La minería ilegal de oro se expande sin freno en la Amazonía,como demuestran los últimos datos en la provincia de Napo, en Ecuador, la multiplicación de actividades mineras ilegales altamente contaminantes es imparable en la Amazonía",https://www.lapatilla.com/2023/05/31/la-mineria-ilegal-crece-voraz-y-amenazante-en-la-amazonia-de-ecuador/,MINERIA ILEGAL
20 de diciembre 2022,LA PATILLA,"La minería ilegal crece voraz y amenazante en la Amazonía,El Gobierno, en cambio, lo atribuye al poder económico del narcotráfico y, si bien existen focos en casi todo el país, hay cinco en la Amazonía que generan preocupación por su extensión o por estar dentro de reservas naturales.",https://www.lapatilla.com/2023/05/31/la-mineria-ilegal-crece-voraz-y-amenazante-en-la-amazonia-de-ecuador/,MINERIA ILEGAL
08 DE SEPTIEMBRE 2023,CRIME,"La minería ilegal de oro ha sido una importante fuente de ingresos para los grupos armados no estatales en Colombia desde finales de la década de 1990, cuando el Bloque Central Bolívar (BCB) de las Autodefensas Unidas de Colombia (AUC), una organización paramilitar de derecha comenzó a beneficiarse de la extracción del mineral en los departamentos de Bolívar y Antioquia.",https://www.elespectador.com/ambiente/amazonas/mineria-ilegal-en-el-amazonas-otro-fenomeno-que-agudizo-la-pandemia-noticias-colombia/,MINERIA ILGEAL 
27 de enero 2023,INFOBAE ,"La deforestación avanza paralela a la trocha ganadera, una carretera que construyó la exguerrilla FARC en la reserva del Parque Nacional Natural Serranía de La Macarena, para facilitar el movimiento de tropas y cocaína.Asimismo, informaron que durante el 2020, destruyeron 140.000 hectáreas de la Amazonía colombiana, lo que equivale a unos 20 campos de fútbol cada hora, según datos recopilados por la Universidad de Maryland. Eso es más del triple del nivel en 2015, el año antes de que las FARC acordaron dejar de lado medio siglo de combates.",https://www.infobae.com/america/colombia/2022/01/27/narcotrafico-ganaderia-y-deforestacion-el-amazonas-la-gran-victima-de-los-dialogos-de-paz-en-colombia/,NARCOTRAFICO
9 de mayo 2023,EL COLOMBIANO ,"Árboles del Amazonas están en mayor riesgo de mortalidad por sequía

Las sequías están debilitando especialmente los bosques del Amazonas occidental y meridional. Estas diferencias en la resistencia a los cambios en las condiciones hídricas hacen que, entre los sitios más afectados, se encuentre el estado de Mato Grosso, en Brasil (en particular, Río Branco en Acre y Nova Xavantina). En estas zonas, el cambio en el régimen de lluvias y el aumento de temperaturas ya ha llevado a los árboles al límite de su capacidad de adaptación, lo que les podría provocar embolias (en el complejo vascular, bajo la corteza de los troncos) e incluso la muerte.
",https://www.elcolombiano.com/medio-ambiente/arboles-de-la-amazonia-estan-en-riesgo-de-desaparecer-por-la-sequia-que-causa-deforestacion-y-cambio-climatico-JD21334683,
15 de abril 2023,EL COLOMBIANO ,"Disidentes de las Farc y bandas brasileras dominan el narcotráfico del Amazonas
Los disidentes de las Farc preguntaban por la ubicación de 450 kilos de marihuana de variedad cripa, que estaban ocultos en algún lugar del vasto Amazonas. El traficante se negaba a entregar el botín y soportó durante ocho horas los más crueles castigos. El episodio ocurrió en La Pedrera, un caserío enclavado en la jungla, en límites de los departamentos de Amazonas y Vaupés. Al traficante lo secuestraron y lo llevaron a un kiosko de la comunidad indígena bacurí, donde pasó la noche entre el 24 y el 25 de marzo del año pasado, al arrullo de los interrogatorios, los improperios y las palizas.
",https://www.elcolombiano.com/colombia/disidentes-de-las-farc-y-bandas-brasileras-dominan-el-narcotrafico-del-amazonas-PA21120816,
7 de marzo 2023,EL COLOMBIANO ,"La Amazonía podría perder 2,1 millones de hectáreas de bosque al 2040, si no se actúa ya.
El Instituto Amazónico de Investigaciones Científicas (SINCHI) publicó este lunes un estudio que no tiene precedentes. Los investigadores crearon un modelo predictivo hasta el año 2040, que buscaba responder a la pregunta de cuál será el futuro de los bosques de la Amazonía colombiana en distintos escenarios de desarrollo bajo la actual etapa de postconflicto.
El modelo de predicción estudió tres escenarios posibles como rutas de desarrollo para esta región, a los que denominó: tendencial, extractivista y desarrollo sostenible.
En el escenario tendencial es cómo están las cosas actualmente; es decir, que si en 20 años se siguieran teniendo las mismas actuaciones en el territorio y no se implementaran las políticas de control sobre la deforestación y otros factores que afectan la degradación de los bosques, el modelo demostró que si esto continua así se podrían perder al menos 2,1 millones de hectáreas de bosque a 2040.
",https://www.elcolombiano.com/colombia/amazonia-colombiana-podria-perder-millones-de-bosque-BN20698108,
20 de dicienbre 2021,EL COLOMBIANO ,"La Amazonía se rompe con 20.000 kilómetros de vías ilegales
La destrucción de los bosques de la Amazonía ha sido ocasionada, en gran medida, por la construcción de al menos 20.000 kilómetros de vías ilegales que rompen áreas protegidas de la selva y que son, en su mayoría, causantes del salto en deforestación que se registró en toda la región: pasó de 101.395 hectáreas arrasadas en 2019 a 113.945 en 2020 según datos de La Fundación para la Conservación y el Desarrollo Sostenible (FCDS). El problema con la construcción de las vías es que, después de su aparición, se generan nuevas afectaciones al territorio que las rodea. Así lo estableció la Fiscalía en el área protegida Nukak Makú, parte de la capital del Guaviare, en donde la construcción coincide con el incremento de la deforestación en la reserva forestal y en el resguardo indígena. Por ese motivo, el ente deshabilitó la vía terrestre, después de recibir autorización de un juez municipal.
",https://www.elcolombiano.com/colombia/la-amazonia-se-rompe-con-20000-kilometros-de-vias-ilegales-JF16201190https://www.elcolombiano.com/colombia/la-amazonia-se-rompe-con-20000-kilometros-de-vias-ilegales-JF16201190,
29 de noviembre 2021,EL COLOMBIANO ,"Ya hasta los peces de Amazonas tienen microplástico en su interior
Esta semana, gracias a un estudio del Instituto de Investigaciones de la Amazonía peruana, se encontró por primera vez la ingestión de microplásticos en organismos de la especie de pez conocida como boquichico, en la selvática región de Loreto, según informó el Ministerio peruano del Ambiente a través de un comunicado. Los científicos a cargo del estudio advirtieron de que los resultados estarían sugiriendo que algunas zonas de pesca están sufriendo la mala gestión de los residuos plásticos, impactando de forma negativa en los ecosistemas y la ictiofauna de la región y que, a través del consumo, podría afectar a la salud de las personas.
",https://www.elcolombiano.com/tendencias/hallan-por-primera-vez-microplasticos-en-peces-de-la-amazonia-peruana-AO16094712,
30 de abril 2020,EL COLOMBIANO ,"Amazonia sufre por deforestación
El más reciente boletín de detección temprana de la deforestación, emitido por el Ideam, revela que casi el 85% de la deforestación que tuvo lugar entre octubre y diciembre de 2019 ocurrió en la Amazonia. En total se vieron afectadas de 28,000 hectáreas.De acuerdo con el Ideam el principal núcleo de afectación en este trimestre (octubre-diciembre) se presentó en el noroccidente del Guaviare, especialmente en el área de influencia de la denominada “Marginal de la Selva”, al sur del río Guayabero. “La expansión y consolidación de la infraestructura vial informal continúa siendo el principal factor de la pérdida de bosque. Esta dinámica de intervención la promueven principalmente grupos armados ilegales e inversionistas ajenos a la región”, señala el informe.
",https://www.elcolombiano.com/medio-ambiente/amazonia-sufre-por-deforestacion-AL12914271,
11 de marzo 2022,EL COLOMBIANO ,"La Amazonia podría convertirse en una sabana en 50 años, según estudio
El calentamiento y los daños medioambientales están llevando a la Amazonia a un punto de no retorno que podría convertir, en medio siglo, a uno de los mayores ecosistemas del mundo en una árida sabana, advirtió un estudio en la revista Nature Communications.
",https://www.elcolombiano.com/internacional/la-amazonia-podria-convertirse-en-una-sabana-por-danos-al-medio-ambiente-segun-estudio-JF12602964,
0,EL TEMPO,"las regiones del amazonar mas expuestas al cambio climatico la Amazonia está amenazada por múltiples factores de estrés, como la deforestación y el clima. Comprender los límites de estrés que pueden soportar estos bosques es un reto científico de primer orden. Nuestro estudio aporta nuevos conocimientos sobre los límites de la resistencia de los bosques a uno de los principales factores de estrés: la sequía, En algunas zonas de la Amazonia ya se han producido cambios en el régimen de lluvias. En el sur de la Amazonia hay pruebas de que la estación seca se ha alargado, y las temperaturas en esta región han aumentado más que en otras partes de la Amazonia. Los cambios en el sur de la Amazonia se deben en parte a la deforestación extensiva.",https://www.eltiempo.com/vida/medio-ambiente/las-regiones-de-la-amazonia-mas-expuestas-al-cambio-climatico-765428,
27 de octubre 2021,LA SEMANA ,"Explotación petrolera quedaría prohibida en la Amazonía
En el Congreso de la República empezó a avanzar una reforma constitucional que busca ponerle freno a la explotación petrolera en la Amazonía colombiana. Después de varias horas de discusión, los congresistas dieron vía libre en primer debate a esta iniciativa que busca proteger el medio ambiente. El representante del Partido Liberal, Harry González, aseguró que el 20 por ciento del total de oxígeno del planeta proviene de la selva amazónica por lo que es fundamental su protección y frenar las actividades petroleras. Además, dijo durante el debate, que la Amazonía cuenta con más de 390.000 millones de árboles que deben ser protegidos.
",https://www.semana.com/nacion/articulo/explotacion-petrolera-quedaria-prohibida-en-la-amazonia/202135/,
9 abril 2023,EL TIEMPO,"El aumento de la minería ilegal amenaza a un pueblo del Amazonas en aislamiento
Desde que comenzó la pandemia la minería ilegal en la Amazonia colombiana ha incrementado. Además de las problemáticas ambientales que trae el mercurio utilizado en estas actividades, monitoreos satelitales evidenciaron que desde 2020 ha aumentado más del 1.000 % sobre el río Puré y los mineros tienen enclaves en el Parque Nacional Natural Río Puré, a pocos kilómetros de un pueblo en aislamiento. Durante 2020, mientras las fronteras de los países estaban cerradas y aumentaban las cifras de contagios de covid-19, la presencia de la minería ilegal entre Colombia y Brasil ganó varios kilómetros. Las implicaciones de esta práctica, que usa contaminantes como el mercurio, son graves para los ríos y la salud de las comunidades circundantes.
",https://www.elespectador.com/ambiente/amazonas/el-aumento-de-la-mineria-ilegal-amenaza-a-un-pueblo-del-amazonas-en-aislamiento/,
,SEMANA ,"Más de 30 hectáreas afectadas, la desaparición de una quebrada y la contaminación de varias fuentes hídricas es el costo medioambiental que deja la explotación de este yacimiento de oro a cielo abierto. Nueve personas fueron detenidas, Su nocivo impacto ambiental, por tanto, tampoco da tregua. Un ejemplo de su implacable efecto sobre el medioambiente fue el que encontraron en las últimas horas tropas del Batallón de Artillería Nº. 27, de la Vigésima Séptima Brigada del Ejército Nacional, en la vereda conocida como Las Minas, del corregimiento de Puerto Umbría, en el municipio de Villagarzón (Putumayo), Allí no solo resultaron afectadas cerca de 30 hectáreas de vegetación nativa por cuenta de una mina de oro a cielo abierto, sino además una quebrada, la cual -según las autoridades- prácticamente desapareció. ",https://www.semana.com/medio-ambiente/articulo/destruyen-gigantesco-complejo-de-mineria-ilegal-en-putumayo-i-colombia-hoy/54100/,MINERIA ILEGAL
